instrument_token,exchange_token,tradingsymbol,name,exchange,instrument_type,strike,expiry,lot_size
256265,1001,NIFTY 50,NIFTY 50,NSE,EQ,,,
256777,1003,NIFTY MIDCAP 100,NIFTY MIDCAP 100,NSE,EQ,,,
260105,1016,NIFTY BANK,NIFTY BANK,NSE,EQ,,,
260617,1018,NIFTY 100,NIFTY 100,NSE,EQ,,,
257033,1004,NIFTY DIV OPPS 50,NIFTY DIV OPPS 50,NSE,EQ,,,
257289,1005,NIFTY COMMODITIES,NIFTY COMMODITIES,NSE,EQ,,,
257545,1006,NIFTY CONSUMPTION,NIFTY CONSUMPTION,NSE,EQ,,,
257801,1007,NIFTY FIN SERVICE,NIFTY FIN SERVICE,NSE,EQ,,,
258825,1011,NIFTY50 PR 2X LEV,NIFTY50 PR 2X LEV,NSE,EQ,,,
259081,1012,NIFTY50 PR 1X INV,NIFTY50 PR 1X INV,NSE,EQ,,,
259337,1013,NIFTY50 TR 2X LEV,NIFTY50 TR 2X LEV,NSE,EQ,,,
259593,1014,NIFTY50 TR 1X INV,NIFTY50 TR 1X INV,NSE,EQ,,,
259849,1015,NIFTY IT,NIFTY IT,NSE,EQ,,,
260873,1019,NIFTY MIDCAP 50,NIFTY MIDCAP 50,NSE,EQ,,,
261129,1020,NIFTY REALTY,NIFTY REALTY,NSE,EQ,,,
261385,1021,NIFTY INFRA,NIFTY INFRA,NSE,EQ,,,
261641,1022,NIFTY ENERGY,NIFTY ENERGY,NSE,EQ,,,
261897,1023,NIFTY FMCG,NIFTY FMCG,NSE,EQ,,,
262153,1024,NIFTY MNC,NIFTY MNC,NSE,EQ,,,
262409,1025,NIFTY PHARMA,NIFTY PHARMA,NSE,EQ,,,
262665,1026,NIFTY PSE,NIFTY PSE,NSE,EQ,,,
262921,1027,NIFTY PSU BANK,NIFTY PSU BANK,NSE,EQ,,,
263177,1028,NIFTY SERV SECTOR,NIFTY SERV SECTOR,NSE,EQ,,,
263433,1029,NIFTY AUTO,NIFTY AUTO,NSE,EQ,,,
263689,1030,NIFTY METAL,NIFTY METAL,NSE,EQ,,,
263945,1031,NIFTY MEDIA,NIFTY MEDIA,NSE,EQ,,,
264457,1033,NIFTY 200,NIFTY 200,NSE,EQ,,,
264713,1034,HANGSENG BEES-NAV,HANGSENG BEES-NAV,NSE,EQ,,,
264969,1035,INDIA VIX,INDIA VIX,NSE,EQ,,,
265225,1036,NIFTY50 DIV POINT,NIFTY50 DIV POINT,NSE,EQ,,,
265737,1038,NIFTY200 QUALTY30,NIFTY200 QUALTY30,NSE,EQ,,,
265993,1039,NIFTY ALPHA 50,NIFTY ALPHA 50,NSE,EQ,,,
266249,1040,NIFTY MIDCAP 150,NIFTY MIDCAP 150,NSE,EQ,,,
266505,1041,NIFTY MIDSML 400,NIFTY MIDSML 400,NSE,EQ,,,
266761,1042,NIFTY SMLCAP 50,NIFTY SMLCAP 50,NSE,EQ,,,
267017,1043,NIFTY SMLCAP 100,NIFTY SMLCAP 100,NSE,EQ,,,
267273,1044,NIFTY SMLCAP 250,NIFTY SMLCAP 250,NSE,EQ,,,
267529,1045,NIFTY50 VALUE 20,NIFTY50 VALUE 20,NSE,EQ,,,
267785,1046,NIFTY100 LIQ 15,NIFTY100 LIQ 15,NSE,EQ,,,
268041,1047,NIFTY 500,NIFTY 500,NSE,EQ,,,
268297,1048,NIFTY CPSE,NIFTY CPSE,NSE,EQ,,,
268553,1049,NIFTY GS 4 8YR,NIFTY GS 4 8YR,NSE,EQ,,,
268809,1050,NIFTY GS 8 13YR,NIFTY GS 8 13YR,NSE,EQ,,,
269065,1051,NIFTY GS 10YR,NIFTY GS 10YR,NSE,EQ,,,
269321,1052,NIFTY GS 10YR CLN,NIFTY GS 10YR CLN,NSE,EQ,,,
269577,1053,NIFTY GS 11 15YR,NIFTY GS 11 15YR,NSE,EQ,,,
269833,1054,NIFTY GS 15YRPLUS,NIFTY GS 15YRPLUS,NSE,EQ,,,
270089,1055,NIFTY GS COMPSITE,NIFTY GS COMPSITE,NSE,EQ,,,
270345,1056,NIFTY GROWSECT 15,NIFTY GROWSECT 15,NSE,EQ,,,
270601,1057,NIFTY MID LIQ 15,NIFTY MID LIQ 15,NSE,EQ,,,
270857,1058,NIFTY NEXT 50,NIFTY NEXT 50,NSE,EQ,,,
271113,1059,NIFTY PVT BANK,NIFTY PVT BANK,NSE,EQ,,,
271625,1061,NIFTY50 EQL WGT,NIFTY50 EQL WGT,NSE,EQ,,,
271881,1062,NIFTY100 EQL WGT,NIFTY100 EQL WGT,NSE,EQ,,,
272137,1063,NIFTY100 LOWVOL30,NIFTY100 LOWVOL30,NSE,EQ,,,
272393,1064,NIFTY100 QUALTY30,NIFTY100 QUALTY30,NSE,EQ,,,
273673,1069,NIFTY ALPHALOWVOL,NIFTY ALPHALOWVOL,NSE,EQ,,,
288009,1125,NIFTY MID SELECT,NIFTY MIDCAP SELECT (MIDCPNIFTY),NSE,EQ,,,
288265,1126,NIFTY FINSRV25 50,NIFTY FINSRV25 50,NSE,EQ,,,
288521,1127,NIFTY HEALTHCARE,NIFTY HEALTHCARE,NSE,EQ,,,
288777,1128,NIFTY CONSR DURBL,NIFTY CONSR DURBL,NSE,EQ,,,
289033,1129,NIFTY OIL AND GAS,NIFTY OIL AND GAS,NSE,EQ,,,
289289,1130,NIFTY500 MULTICAP,NIFTY500 MULTICAP,NSE,EQ,,,
289545,1131,NIFTY LARGEMID250,NIFTY LARGEMID250,NSE,EQ,,,
289801,1132,NIFTY100ESGSECLDR,NIFTY100ESGSECLDR,NSE,EQ,,,
290057,1133,NIFTY200MOMENTM30,NIFTY200MOMENTM30,NSE,EQ,,,
290313,1134,NIFTY TOTAL MKT,NIFTY TOTAL MKT,NSE,EQ,,,
290569,1135,NIFTY MICROCAP250,NIFTY MICROCAP250,NSE,EQ,,,
290825,1136,NIFTY M150 QLTY50,NIFTY M150 QLTY50,NSE,EQ,,,
