id,scrip,date,instrument_token,tradingsymbol,strike,option_type,expiry,open,high,low,close,volume,oi,spot_close
67349,HDFCBANK,2026-08-06,25572098,HDFCBANK26AUG940CE,940,CE,2026-08-25,0.15,0.2,0.15,0.2,49400,413400,735.8
67350,HDFCBANK,2026-08-06,25572354,HDFCBANK26AUG940PE,940,PE,2026-08-25,199.5,199.5,199.5,199.5,0,154700,735.8
67534,NIFTY50,2026-08-03,10490626,NIFTY2681123750CE,23750,CE,2026-08-11,791,884.75,791,855.5,6890,8580,24774.3
67535,NIFTY50,2026-08-03,10491394,NIFTY2681123750PE,23750,PE,2026-08-11,16,16,10.05,11.05,1457560,428480,24774.3
67536,NIFTY50,2026-08-03,10491650,NIFTY2681123800CE,23800,CE,2026-08-11,770,833,726.2,797.85,74165,92625,24774.3
67537,NIFTY50,2026-08-03,10491906,NIFTY2681123800PE,23800,PE,2026-08-11,21.15,21.15,11.15,12.5,5027620,1520350,24774.3
67538,NIFTY50,2026-08-03,10492162,NIFTY2681123850CE,23850,CE,2026-08-11,724,776,718.1,763.85,6955,12350,24774.3
67539,NIFTY50,2026-08-03,10492418,NIFTY2681123850PE,23850,PE,2026-08-11,19.25,19.25,12.25,13.8,1353170,331630,24774.3
67540,NIFTY50,2026-08-03,10492674,NIFTY2681123900CE,23900,CE,2026-08-11,575,737.5,575,702.65,228475,214110,24774.3
67541,NIFTY50,2026-08-03,10492930,NIFTY2681123900PE,23900,PE,2026-08-11,21.2,22.05,13.7,15.35,4304105,1381705,24774.3
67542,NIFTY50,2026-08-03,10493186,NIFTY2681123950CE,23950,CE,2026-08-11,628.1,687.35,625.75,657.5,17420,25740,24774.3
67543,NIFTY50,2026-08-03,10493442,NIFTY2681123950PE,23950,PE,2026-08-11,25,25.75,15.7,17.6,1597700,336440,24774.3
67544,NIFTY50,2026-08-03,10493698,NIFTY2681124000CE,24000,CE,2026-08-11,560,642.9,560,608.95,549575,649805,24774.3
67545,NIFTY50,2026-08-03,10493954,NIFTY2681124000PE,24000,PE,2026-08-11,38.75,38.75,18,20.15,7666425,3161925,24774.3
67546,NIFTY50,2026-08-03,10494210,NIFTY2681124050CE,24050,CE,2026-08-11,535.15,593.7,530.25,565.85,31005,38935,24774.3
67547,NIFTY50,2026-08-03,10494466,NIFTY2681124050PE,24050,PE,2026-08-11,36.85,36.85,20.05,23.15,2031900,477620,24774.3
67548,NIFTY50,2026-08-03,10494722,NIFTY2681124100CE,24100,CE,2026-08-11,450.1,549,422.2,515.85,277095,355095,24774.3
67549,NIFTY50,2026-08-03,10494978,NIFTY2681124100PE,24100,PE,2026-08-11,31.7,38.25,22.95,26.9,4878055,1533025,24774.3
67550,NIFTY50,2026-08-03,10495234,NIFTY2681124150CE,24150,CE,2026-08-11,430.05,501,430,473.7,50180,59930,24774.3
67551,NIFTY50,2026-08-03,10495490,NIFTY2681124150PE,24150,PE,2026-08-11,43.8,43.9,26.55,30.9,1644565,437190,24774.3
67552,NIFTY50,2026-08-03,10495746,NIFTY2681124200CE,24200,CE,2026-08-11,387.1,460.7,387.1,429.65,1016600,1434680,24774.3
